x,y,z,time_diff
-0.302,4.436,7.613,23
-0.759,4.786,7.687,16
-0.086,5.381,8.555,23
0.199,6.114,9.053,16
-0.093,4.774,9.193,23
-0.674,4.91,7.108,16
-0.398,4.888,8.225,23
-0.062,5.812,8.56,16
-0.221,5.238,7.284,23
-0.528,4.991,8.977,16
-0.378,5.143,7.529,23
-0.471,5.057,8.139,16
-0.533,5.417,8.072,23
-0.162,5.641,7.484,16
-0.447,4.853,8.087,23
-0.421,4.888,7.929,16
0.039,5.56,7.401,24
-0.321,5.346,6.825,15
0.075,5.736,9.688,24
-0.395,5.017,8.52,15
-0.117,4.808,9.208,24
0.128,5.55,6.784,15
-0.083,5.595,8.315,24
-0.207,5.326,7.748,15
-0.193,5.024,8.827,24
-0.424,4.841,7.741,15
0.075,5.629,7.406,24
-0.105,5.731,8.132,15
0.235,5.476,7.494,24
-0.255,4.903,7.506,23
-0.393,5.205,7.791,16
0.066,5.486,6.972,23
-0.524,5.35,8.384,16
-0.693,5.355,7.234,23
-0.436,5.107,8.194,16
-0.24,5.169,7.606,24
0.016,5.667,8.182,15
-0.267,5.226,7.215,24
-0.036,5.729,7.291,15
-0.381,5.205,8.16,24
-0.574,4.422,7.003,15
-0.155,4.75,8.446,24
-0.167,5.936,6.218,15
-0.1,5.555,6.903,24
-0.033,4.938,8.341,15
0.323,5.448,8.727,24
0.132,4.972,9.01,15
-0.124,5.169,6.927,24
-0.05,5.574,7.687,16
-0.126,5.491,7.541,23
-0.712,5.072,8.196,16
-0.564,4.731,8.098,23
-0.043,4.848,7.261,23
0.204,5.45,7.818,16
-0.117,5.698,6.606,24
-0.409,5.407,8.041,15
-0.747,5.16,7.33,24
-0.709,4.684,7.884,15
-0.05,4.984,8.739,24
-0.362,5.357,6.563,15
-0.543,5.129,6.563,24
-0.302,5.453,7.653,15
-0.607,5.06,6.687,24
-0.345,5.088,8.639,15
-0.245,5.169,8.701,24
0.087,5.624,8.41,15
-0.169,5.905,8.008,24
-0.052,5.76,8.753,16
-0.293,5.198,7.701,23
-0.462,4.917,7.82,16
-0.269,4.962,8.094,23
-0.243,5.636,7.915,16
-0.659,5.553,7.315,23
-0.219,5.346,8.663,16
-0.064,5.824,8.225,23
-0.05,5.155,7.396,16
-0.621,4.398,9.074,23
-0.521,5.069,7.272,16
-0.278,5.65,7.487,23
-0.2,5.641,7.18,24
0.013,5.498,6.656,15
-0.283,5.01,6.589,24
-0.638,4.941,7.687,15
-0.412,5.034,8.405,24
-0.428,5.738,7.353,15
-0.057,5.498,8.596,24
-0.314,5.705,8.025,16
-0.669,5.012,7.975,23
-0.993,4.815,7.532,16
-0.859,4.198,8.046,23
-0.4,5.241,5.723,16
-0.181,5.791,6.911,23
-0.462,5.512,8.322,16
-0.935,5.374,8.184,23
-1.009,4.765,8.92,16
-0.131,4.674,8.346,23
-0.302,5.322,8.17,16
-0.262,5.581,7.901,23
-0.036,6.067,7.534,16
-0.062,5.903,8.317,23
-0.021,5.074,8.608,16
-0.971,4.581,6.718,23
-0.855,4.241,8.106,16
-0.528,4.812,8.329,23
-0.4,5.805,7.513,16
-0.007,6.022,7.97,24
-0.236,5.548,7.856,23
-0.971,4.981,8.472,16
-0.514,4.57,8.448,23
-0.436,5.426,7.096,16
-0.486,4.769,8.146,23
-0.357,5.755,8.336,16
-0.693,5.448,7.901,23
-0.312,4.962,7.996,16
-0.586,5.207,7.827,23
-0.314,4.969,7.399,16
0.254,5.929,8.539,23
-0.283,5.788,8.098,16
-0.224,5.331,9.51,23
-0.583,4.95,7.722,16
-0.602,5.2,7.389,23
-0.169,4.543,8.479,16
-0.728,5.079,6.706,23
-0.138,5.743,7.268,16
-0.345,5.246,8.02,24
-0.617,5.062,7.134,15
-0.376,4.877,8.179,24
-0.109,4.869,7.444,15
-0.214,5.674,6.939,24
-0.547,5.165,7.72,15
-0.012,5.291,9.234,24
-0.752,5.086,6.613,23
-0.845,4.405,7.725,16
-0.188,4.931,7.272,23
-0.183,5.65,7.751,16
-0.695,5.524,6.704,23
-0.617,5.174,8.91,16
-0.55,5.01,7.141,23
0.27,5.534,8.936,16
0.232,5.738,7.584,23
-0.007,5.472,8.325,16
-0.564,5.543,8.298,23
-0.571,4.753,8.608,16
-0.305,4.348,8.317,24
-0.562,4.748,7.339,15
-0.248,5.398,7.277,24
-0.336,5.905,7.218,15
-0.738,4.879,8.194,24
-0.726,4.577,6.856,15
-0.198,5.122,7.951,24
-0.25,5.131,7.946,15
-0.431,5.619,9.141,24
-0.574,5.824,6.987,15
-0.676,4.931,9.058,24
-0.897,4.546,7.349,15
-0.148,4.769,8.732,24
-0.271,5.91,7.877,16
-0.34,5.474,6.723,23
-0.167,5.479,8.51,16
-0.152,5.519,8.42,23
-0.643,4.201,7.903,16
-0.019,4.819,8.101,23
-0.331,5.326,6.646,24
-0.331,5.805,8.146,15
-0.186,5.262,9.365,24
-0.35,5.129,6.406,15
0.006,4.474,7.608,24
-0.376,4.8,8.334,15
-0.195,5.362,7.77,24
-0.431,5.995,7.034,15
0.206,5.012,8.817,24
-0.807,5.053,7.858,15
-0.724,4.41,7.932,24
-0.236,5.467,7.61,15
0.128,5.326,7.734,24
-0.109,5.836,7.963,16
-0.04,5.007,7.808,23
-0.167,5.219,9.32,16
-0.367,4.874,8.265,23
-0.935,5.167,7.922,16
-0.321,5.369,7.339,23
-0.455,4.705,8.056,16
-0.171,5.212,7.068,23
-0.469,4.712,7.165,24
-0.578,5.212,6.853,15
-0.583,5.405,8.048,16
-0.231,4.698,8.986,23
-0.552,5.041,8.284,24
-0.398,4.953,9.569,15
-0.564,5.434,7.52,24
-0.29,4.467,7.653,15
-0.298,5.155,7.082,24
-0.226,5.079,8.037,15
-0.209,5.719,8.72,24
-0.295,4.705,7.051,16
-0.057,5.279,8.286,23
-0.638,4.524,7.97,16
-0.221,4.812,7.163,23
-0.447,5.357,7.47,16
-0.095,4.648,8.403,23
-0.583,4.85,7.922,16
-0.493,5.248,7.13,23
-0.283,5.231,9.101,16
-0.483,5.012,8.967,23
-0.6,4.477,8.217,16
-0.731,4.998,6.075,23
-0.014,5.407,7.577,24
-0.647,5.077,6.982,15
-0.547,4.377,9.243,16
-0.131,5.388,8.646,23
-0.126,5.255,8.063,16
0.025,5.122,8.096,23
-0.805,4.548,8.601,16
-0.657,5.186,8.375,24
-0.436,5.757,6.294,15
-0.021,4.886,9.593,24
0.056,5.243,7.932,23
-0.138,4.912,7.477,16
0.223,5.403,8.632,23
-0.264,5.119,8.082,16
-0.381,4.658,8.441,23
-0.362,4.612,8.26,16
-0.657,5.138,6.13,23
-0.35,4.796,8.629,16
-0.345,5.207,8.136,23
-0.381,5.269,8.246,16
-0.086,5.319,7.634,23
-0.169,5.131,8.989,16
-0.195,5.024,7.322,23
