,ax,ay,az,gx,gy,gz,time_diff,timestamp_x,gz_raw,theta,faceBottom,faceLeft,faceRight,faceTop,isFrontFace,noseX,noseY,time,timestamp_y
103,-13172.0,366.0,7522.0,-44.0,31.0,-28.143902439,0.10554599762,1449015476.4,-488.0,2.78453263858,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
104,-13292.0,-460.0,7460.0,-43.0,27.0,-25.2170731707,0.104095935822,1449015476.5,-429.0,0.00720229236091,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
105,-13390.0,-970.0,7368.0,-44.0,29.0,-25.2170731707,0.102907896042,1449015476.61,-414.0,-2.58783365197,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
106,-13226.0,-1674.0,7356.0,-48.0,26.0,-24.3024390244,0.105032205582,1449015476.71,-471.0,-5.18840544456,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
107,-13180.0,-2212.0,7376.0,-39.0,24.0,-17.7780487805,0.104496955872,1449015476.82,-307.0,-7.38704688316,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
108,-13272.0,-2734.0,7284.0,-19.0,21.0,-1.00975609756,0.104416847229,1449015476.92,-32.0,-8.36792855902,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
109,-13184.0,-1828.0,7146.0,-26.0,20.0,6.67317073171,0.101622104645,1449015477.02,94.0,-8.08016450173,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
110,-13320.0,-1738.0,7300.0,-23.0,20.0,6.67317073171,0.1039249897,1449015477.13,111.0,-7.38665530216,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
111,-13316.0,-1822.0,7356.0,-29.0,13.0,0.209756097561,0.102564096451,1449015477.23,-16.0,-7.03368471657,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
112,-13354.0,-1812.0,7394.0,-29.0,15.0,0.209756097561,0.103392839432,1449015477.33,-12.0,-7.01199743806,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
113,-13300.0,-1916.0,7266.0,-20.0,12.0,8.50243902439,0.102120161057,1449015477.43,124.0,-6.56715205355,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
114,-13348.0,-1270.0,7346.0,-21.0,14.0,8.74634146341,0.105199813843,1449015477.54,147.0,-5.65986780539,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
115,-13338.0,-844.0,7350.0,-23.0,12.0,8.74634146341,0.106391191483,1449015477.65,128.0,-4.72933411598,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
116,-13338.0,-736.0,7372.0,-32.0,12.0,-0.826829268293,0.103083848953,1449015477.75,-42.0,-4.32114721653,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
117,-13462.0,-1226.0,7292.0,-28.0,16.0,-0.826829268293,0.102946996689,1449015477.85,-29.0,-4.40626680647,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
118,-13408.0,-1582.0,7274.0,-26.0,15.0,1.67317073171,0.101544141769,1449015477.95,36.0,-4.3632962977,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
119,-13410.0,-1118.0,7408.0,-27.0,19.0,2.40487804878,0.117209911346,1449015478.07,12.0,-4.12430242969,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
120,-13408.0,-766.0,7374.0,-25.0,12.0,1.67317073171,0.106539011002,1449015478.18,24.0,-3.90706678774,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
121,-13380.0,-998.0,7428.0,-28.0,19.0,0.270731707317,0.105000019073,1449015478.28,-11.0,-3.80501189116,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
